Date,Close
2025-11-10,114.33000183105469
2025-11-11,114.33000183105469
2025-11-12,114.33999633789062
2025-11-13,114.3499984741211
2025-11-14,114.41000366210938
2025-11-17,114.41999816894531
2025-11-18,114.4000015258789
2025-11-19,114.41000366210938
2025-11-20,114.41999816894531
2025-11-21,114.47000122070312
2025-11-24,114.51000213623047
2025-11-25,114.5199966430664
2025-11-26,114.55999755859375
2025-11-28,114.5999984741211
2025-12-01,114.62999725341797
2025-12-02,114.6500015258789
2025-12-03,114.66500091552734
2025-12-04,114.66000366210938
2025-12-05,114.69000244140625
2025-12-08,114.72000122070312
2025-12-09,114.69000244140625
2025-12-10,114.70999908447266
2025-12-11,114.75
2025-12-12,114.7699966430664
2025-12-15,114.77999877929688
2025-12-16,114.79000091552734
2025-12-17,114.81999969482422
2025-12-18,114.8499984741211
2025-12-19,114.9000015258789
2025-12-22,114.93000030517578
2025-12-23,114.97000122070312
2025-12-24,114.97000122070312
2025-12-26,115.02999877929688
2025-12-29,115.05999755859375
2025-12-30,115.04000091552734
2025-12-31,115.0999984741211
2026-01-02,115.12999725341797
2026-01-05,115.12999725341797
2026-01-06,115.16000366210938
2026-01-07,115.16999816894531
2026-01-08,115.22000122070312
2026-01-09,115.26000213623047
2026-01-12,115.26000213623047
2026-01-13,115.27999877929688
2026-01-14,115.30000305175781
2026-01-15,115.30000305175781
2026-01-16,115.31999969482422
2026-01-20,115.36000061035156
2026-01-21,115.38999938964844
2026-01-22,115.41000366210938
2026-01-23,115.41000366210938
2026-01-26,115.44000244140625
2026-01-27,115.43000030517578
2026-01-28,115.44000244140625
2026-01-29,115.43000030517578
2026-01-30,115.44999694824219
2026-02-02,115.4800033569336
2026-02-03,115.51000213623047
2026-02-04,115.5199966430664
2026-02-05,115.5
2026-02-06,115.58000183105469
2026-02-09,115.58999633789062
2026-02-10,115.55999755859375
2026-02-11,115.58999633789062
2026-02-12,115.5999984741211
2026-02-13,115.69000244140625
2026-02-17,115.7300033569336
2026-02-18,115.70999908447266
2026-02-19,115.7300033569336
2026-02-20,115.75
2026-02-23,115.75
2026-02-24,115.76000213623047
2026-02-25,115.77999877929688
2026-02-26,115.79000091552734
2026-02-27,115.83000183105469
2026-03-02,115.83999633789062
2026-03-03,115.87000274658203
2026-03-04,115.8499984741211
2026-03-05,115.86000061035156
2026-03-06,115.88999938964844
2026-03-09,115.88999938964844
2026-03-10,115.88999938964844
2026-03-11,115.94999694824219
2026-03-12,115.97000122070312
2026-03-13,116.01000213623047
2026-03-16,116.0
2026-03-17,116.00499725341797
2026-03-18,116.01000213623047
2026-03-19,116.0
2026-03-20,116.02999877929688
2026-03-23,116.02999877929688
2026-03-24,116.04000091552734
2026-03-25,116.05999755859375
2026-03-26,116.0999984741211
2026-03-27,116.13999938964844
2026-03-30,116.16000366210938
2026-03-31,116.29000091552734
2026-04-01,116.20999908447266
2026-04-02,116.26000213623047
2026-04-06,116.26000213623047
2026-04-07,116.27999877929688
2026-04-08,116.2699966430664
2026-04-09,116.26000213623047
2026-04-10,116.30999755859375
2026-04-13,116.27999877929688
2026-04-14,116.30000305175781
2026-04-15,116.33000183105469
2026-04-16,116.36000061035156
2026-04-17,116.38999938964844
2026-04-20,116.41999816894531
2026-04-21,116.44999694824219
2026-04-22,116.44999694824219
2026-04-23,116.47000122070312
2026-04-24,116.5
2026-04-27,116.48999786376953
2026-04-28,116.51000213623047
2026-04-29,116.51000213623047
2026-04-30,116.52999877929688
2026-05-01,116.56999969482422
2026-05-04,116.58999633789062
2026-05-05,116.58999633789062
2026-05-06,116.58999633789062
2026-05-07,116.61000061035156
2026-05-08,116.6500015258789
