Date,Close
2025-11-10,274.5400085449219
2025-11-11,273.6099853515625
2025-11-12,274.79998779296875
2025-11-13,269.8900146484375
2025-11-14,269.6700134277344
2025-11-17,266.04998779296875
2025-11-18,267.94000244140625
2025-11-19,267.010009765625
2025-11-20,264.32000732421875
2025-11-21,274.4800109863281
2025-11-24,274.3299865722656
2025-11-25,284.7300109863281
2025-11-26,285.7699890136719
2025-11-28,285.0299987792969
2025-12-01,283.0400085449219
2025-12-02,281.17999267578125
2025-12-03,280.239990234375
2025-12-04,273.45001220703125
2025-12-05,272.25
2025-12-08,269.82000732421875
2025-12-09,269.25
2025-12-10,271.2300109863281
2025-12-11,278.17999267578125
2025-12-12,280.239990234375
2025-12-15,285.8500061035156
2025-12-16,285.8299865722656
2025-12-17,293.0
2025-12-18,287.6700134277344
2025-12-19,292.25
2025-12-22,292.54998779296875
2025-12-23,291.3800048828125
2025-12-24,293.29998779296875
2025-12-26,293.4800109863281
2025-12-29,292.3599853515625
2025-12-30,290.42999267578125
2025-12-31,287.25
2026-01-02,292.9800109863281
2026-01-05,285.7699890136719
2026-01-06,293.2799987792969
2026-01-07,293.5
2026-01-08,298.3299865722656
2026-01-09,300.3599853515625
2026-01-12,300.3999938964844
2026-01-13,300.6199951171875
2026-01-14,300.1300048828125
2026-01-15,301.8599853515625
2026-01-16,300.8500061035156
2026-01-20,289.9800109863281
2026-01-21,296.4599914550781
2026-01-22,295.9200134277344
2026-01-23,298.1099853515625
2026-01-26,297.1199951171875
2026-01-27,296.1700134277344
2026-01-28,296.30999755859375
2026-01-29,299.2799987792969
2026-01-30,298.510009765625
2026-02-02,302.92999267578125
2026-02-03,304.6000061035156
2026-02-04,308.80999755859375
2026-02-05,308.7200012207031
2026-02-06,314.3800048828125
2026-02-09,314.0299987792969
2026-02-10,323.70001220703125
2026-02-11,325.1300048828125
2026-02-12,322.1700134277344
2026-02-13,314.6199951171875
2026-02-17,317.82000732421875
2026-02-18,315.8800048828125
2026-02-19,312.7300109863281
2026-02-20,315.9599914550781
2026-02-23,311.79998779296875
2026-02-24,312.7799987792969
2026-02-25,313.3500061035156
2026-02-26,317.8299865722656
2026-02-27,311.7799987792969
2026-03-02,304.79998779296875
2026-03-03,305.94000244140625
2026-03-04,304.9100036621094
2026-03-05,307.3599853515625
2026-03-06,298.6400146484375
2026-03-09,303.4599914550781
2026-03-10,298.3699951171875
2026-03-11,296.8500061035156
2026-03-12,294.260009765625
2026-03-13,291.54998779296875
2026-03-16,296.0
2026-03-17,301.30999755859375
2026-03-18,294.55999755859375
2026-03-19,297.8299865722656
2026-03-20,292.5799865722656
2026-03-23,300.6700134277344
2026-03-24,299.9100036621094
2026-03-25,303.1600036621094
2026-03-26,301.70001220703125
2026-03-27,294.0400085449219
2026-03-30,295.8699951171875
2026-03-31,304.0799865722656
2026-04-01,308.260009765625
2026-04-02,304.95001220703125
2026-04-06,306.8800048828125
2026-04-07,302.1600036621094
2026-04-08,317.20001220703125
2026-04-09,322.510009765625
2026-04-10,323.42999267578125
2026-04-13,327.260009765625
2026-04-14,331.3800048828125
2026-04-15,328.9100036621094
2026-04-16,330.3800048828125
2026-04-17,341.0299987792969
2026-04-20,342.8900146484375
2026-04-21,340.2099914550781
2026-04-22,333.6700134277344
2026-04-23,334.2799987792969
2026-04-24,335.6300048828125
2026-04-27,332.45001220703125
2026-04-28,323.3599853515625
2026-04-29,314.5
2026-04-30,324.07000732421875
2026-05-01,318.6099853515625
2026-05-04,311.3800048828125
2026-05-05,312.7699890136719
2026-05-06,321.510009765625
2026-05-07,320.29998779296875
2026-05-08,316.7799987792969
