Date,Close
2026-01-29,33.61000061035156
2026-01-30,33.95000076293945
2026-02-02,29.219999313354492
2026-02-03,26.520000457763672
2026-02-04,24.899999618530273
2026-02-05,23.1299991607666
2026-02-06,25.440000534057617
2026-02-09,26.209999084472656
2026-02-10,27.43000030517578
2026-02-11,27.389999389648438
2026-02-12,24.450000762939453
2026-02-13,25.950000762939453
2026-02-17,28.0
2026-02-18,27.959999084472656
2026-02-19,28.56999969482422
2026-02-20,25.90999984741211
2026-02-23,27.200000762939453
2026-02-24,27.950000762939453
2026-02-25,26.459999084472656
2026-02-26,26.170000076293945
2026-02-27,25.600000381469727
2026-03-02,26.0
2026-03-03,24.260000228881836
2026-03-04,23.18000030517578
2026-03-05,22.790000915527344
2026-03-06,21.399999618530273
2026-03-09,21.649999618530273
2026-03-10,21.959999084472656
2026-03-11,21.18000030517578
2026-03-12,19.979999542236328
2026-03-13,19.809999465942383
2026-03-16,19.81999969482422
2026-03-17,18.68000030517578
2026-03-18,18.200000762939453
2026-03-19,17.68000030517578
2026-03-20,21.06999969482422
2026-03-23,23.200000762939453
2026-03-24,21.389999389648438
2026-03-25,22.489999771118164
2026-03-26,21.190000534057617
2026-03-27,21.65999984741211
2026-03-30,21.040000915527344
2026-03-31,22.170000076293945
2026-04-01,23.600000381469727
2026-04-02,28.030000686645508
2026-04-06,28.100000381469727
2026-04-07,27.559999465942383
2026-04-08,27.950000762939453
2026-04-09,36.0099983215332
2026-04-10,33.31999969482422
2026-04-13,33.869998931884766
2026-04-14,34.459999084472656
2026-04-15,39.68000030517578
2026-04-16,38.310001373291016
2026-04-17,35.720001220703125
2026-04-20,38.470001220703125
2026-04-21,41.349998474121094
2026-04-22,43.45000076293945
2026-04-23,35.709999084472656
2026-04-24,31.059999465942383
2026-04-27,32.58000183105469
2026-04-28,31.93000030517578
2026-04-29,29.239999771118164
2026-04-30,33.15999984741211
2026-05-01,31.969999313354492
2026-05-04,32.060001373291016
2026-05-05,32.709999084472656
2026-05-06,36.869998931884766
2026-05-07,33.380001068115234
2026-05-08,34.790000915527344
