Datetime,Close
2026-05-27 13:30:00+00:00,1632.864990234375
2026-05-27 13:31:00+00:00,1632.0
2026-05-27 13:32:00+00:00,1653.280029296875
2026-05-27 13:33:00+00:00,1638.925048828125
2026-05-27 13:34:00+00:00,1629.6500244140625
2026-05-27 13:35:00+00:00,1617.14501953125
2026-05-27 13:36:00+00:00,1603.550048828125
2026-05-27 13:37:00+00:00,1583.4937744140625
2026-05-27 13:38:00+00:00,1595.2708740234375
2026-05-27 13:39:00+00:00,1590.0
2026-05-27 13:40:00+00:00,1597.8800048828125
2026-05-27 13:41:00+00:00,1577.6700439453125
2026-05-27 13:42:00+00:00,1593.7650146484375
2026-05-27 13:43:00+00:00,1584.0
2026-05-27 13:44:00+00:00,1590.18994140625
2026-05-27 13:45:00+00:00,1595.0
2026-05-27 13:46:00+00:00,1579.550048828125
2026-05-27 13:47:00+00:00,1566.0400390625
2026-05-27 13:48:00+00:00,1582.2099609375
2026-05-27 13:49:00+00:00,1585.27001953125
2026-05-27 13:50:00+00:00,1597.0699462890625
2026-05-27 13:51:00+00:00,1599.5
2026-05-27 13:52:00+00:00,1608.385009765625
2026-05-27 13:53:00+00:00,1602.5999755859375
2026-05-27 13:54:00+00:00,1598.979248046875
2026-05-27 13:55:00+00:00,1594.5999755859375
2026-05-27 13:56:00+00:00,1600.9649658203125
2026-05-27 13:57:00+00:00,1596.7550048828125
2026-05-27 13:58:00+00:00,1597.2750244140625
2026-05-27 13:59:00+00:00,1605.448974609375
2026-05-27 14:00:00+00:00,1599.6099853515625
2026-05-27 14:01:00+00:00,1599.1500244140625
2026-05-27 14:02:00+00:00,1601.239990234375
2026-05-27 14:03:00+00:00,1593.0799560546875
2026-05-27 14:04:00+00:00,1597.3900146484375
2026-05-27 14:05:00+00:00,1603.7049560546875
2026-05-27 14:06:00+00:00,1598.369873046875
2026-05-27 14:07:00+00:00,1589.364990234375
2026-05-27 14:08:00+00:00,1587.7801513671875
2026-05-27 14:09:00+00:00,1586.280029296875
2026-05-27 14:10:00+00:00,1581.0400390625
2026-05-27 14:11:00+00:00,1577.699951171875
2026-05-27 14:12:00+00:00,1578.1300048828125
2026-05-27 14:13:00+00:00,1582.5400390625
2026-05-27 14:14:00+00:00,1576.35498046875
2026-05-27 14:15:00+00:00,1575.7349853515625
2026-05-27 14:16:00+00:00,1586.7950439453125
2026-05-27 14:17:00+00:00,1584.739990234375
2026-05-27 14:18:00+00:00,1579.4002685546875
2026-05-27 14:19:00+00:00,1582.449951171875
2026-05-27 14:20:00+00:00,1574.0
2026-05-27 14:21:00+00:00,1566.0849609375
2026-05-27 14:22:00+00:00,1560.2900390625
2026-05-27 14:23:00+00:00,1564.02001953125
2026-05-27 14:24:00+00:00,1563.0
2026-05-27 14:25:00+00:00,1551.5550537109375
2026-05-27 14:26:00+00:00,1546.97802734375
2026-05-27 14:27:00+00:00,1540.0185546875
2026-05-27 14:28:00+00:00,1537.0634765625
2026-05-27 14:29:00+00:00,1538.97998046875
2026-05-27 14:30:00+00:00,1541.3199462890625
2026-05-27 14:31:00+00:00,1543.7099609375
2026-05-27 14:32:00+00:00,1539.4449462890625
2026-05-27 14:33:00+00:00,1536.260009765625
2026-05-27 14:34:00+00:00,1546.4200439453125
2026-05-27 14:35:00+00:00,1546.7750244140625
2026-05-27 14:36:00+00:00,1551.0
2026-05-27 14:37:00+00:00,1550.437255859375
2026-05-27 14:38:00+00:00,1554.31005859375
2026-05-27 14:39:00+00:00,1552.7176513671875
2026-05-27 14:40:00+00:00,1555.3499755859375
2026-05-27 14:41:00+00:00,1558.594970703125
2026-05-27 14:42:00+00:00,1546.8800048828125
2026-05-27 14:43:00+00:00,1554.02001953125
2026-05-27 14:44:00+00:00,1552.7149658203125
2026-05-27 14:45:00+00:00,1553.0
2026-05-27 14:46:00+00:00,1558.550048828125
2026-05-27 14:47:00+00:00,1558.89501953125
2026-05-27 14:48:00+00:00,1556.614990234375
2026-05-27 14:49:00+00:00,1548.625
2026-05-27 14:50:00+00:00,1557.719970703125
2026-05-27 14:51:00+00:00,1555.47998046875
2026-05-27 14:52:00+00:00,1556.4200439453125
2026-05-27 14:53:00+00:00,1558.1700439453125
2026-05-27 14:54:00+00:00,1559.3699951171875
2026-05-27 14:55:00+00:00,1552.4849853515625
2026-05-27 14:56:00+00:00,1542.0
2026-05-27 14:57:00+00:00,1548.4200439453125
2026-05-27 14:58:00+00:00,1546.4300537109375
2026-05-27 14:59:00+00:00,1547.97998046875
2026-05-27 15:00:00+00:00,1538.7415771484375
2026-05-27 15:01:00+00:00,1544.175048828125
2026-05-27 15:02:00+00:00,1542.030029296875
2026-05-27 15:03:00+00:00,1545.1295166015625
2026-05-27 15:04:00+00:00,1544.489990234375
2026-05-27 15:05:00+00:00,1543.3599853515625
2026-05-27 15:06:00+00:00,1542.300048828125
2026-05-27 15:07:00+00:00,1544.0001220703125
2026-05-27 15:08:00+00:00,1548.0
2026-05-27 15:09:00+00:00,1553.8699951171875
2026-05-27 15:10:00+00:00,1552.97998046875
2026-05-27 15:11:00+00:00,1552.9000244140625
2026-05-27 15:12:00+00:00,1551.4949951171875
2026-05-27 15:13:00+00:00,1555.2550048828125
2026-05-27 15:14:00+00:00,1548.77001953125
2026-05-27 15:15:00+00:00,1541.8199462890625
2026-05-27 15:16:00+00:00,1542.5999755859375
2026-05-27 15:17:00+00:00,1540.0
2026-05-27 15:18:00+00:00,1540.93994140625
2026-05-27 15:19:00+00:00,1535.06005859375
2026-05-27 15:20:00+00:00,1537.8900146484375
2026-05-27 15:21:00+00:00,1531.1300048828125
2026-05-27 15:22:00+00:00,1533.449951171875
2026-05-27 15:23:00+00:00,1534.3599853515625
2026-05-27 15:24:00+00:00,1533.6949462890625
2026-05-27 15:25:00+00:00,1538.094970703125
2026-05-27 15:26:00+00:00,1535.0
2026-05-27 15:27:00+00:00,1533.0
2026-05-27 15:28:00+00:00,1535.239990234375
2026-05-27 15:29:00+00:00,1538.6300048828125
2026-05-27 15:30:00+00:00,1544.56005859375
2026-05-27 15:31:00+00:00,1543.5
2026-05-27 15:32:00+00:00,1544.9599609375
2026-05-27 15:33:00+00:00,1546.2750244140625
2026-05-27 15:34:00+00:00,1546.0999755859375
