symbol,trade_date,entry_time,flash_start_price,flash_end_price,flash_drop_pct,pre_crash_return_pct,pre_crash_slope_pct_per_hour,pre_crash_r2,longterm_slope_6m_pct_per_day,longterm_r2_6m,volatility_6m_annualized_pct,pass_longterm,strategy,entry_price,target_price,stop_price,outcome,trade_return_pct,paper_pnl_dollars,exit_price,exit_time
AEHR,2026-05-08,2026-05-08 19:20:00+00:00,102.8550033569336,100.50900268554688,2.2808814299927507,6.34789362592556,14.081422336534711,0.7221437322959996,1.2242726801787285,0.8070075421910342,118.39214557565734,True,flash_entry_after_dip,100.50900268554688,101.9166030883789,95.48355255126953,exit_eod,-3.3011976089721506,-66.02395217944301,97.19100189208984,2026-05-08 19:59:00+00:00
AEHR,2026-05-08,2026-05-08 19:20:00+00:00,102.8550033569336,100.50900268554688,2.2808814299927507,6.34789362592556,14.081422336534711,0.7221437322959996,1.2242726801787285,0.8070075421910342,118.39214557565734,True,control_entry_before_dip,102.8550033569336,104.29545884141855,97.71225318908691,hit_stop,-5.000000000000004,-100.00000000000009,97.71225318908691,2026-05-08 19:27:00+00:00
AMN,2026-05-07,2026-05-07 19:42:00+00:00,22.780000686645508,22.309999465942383,2.0632186415106535,1.1767290597770819,1.513300897068759,0.35030599708323173,0.23320618936981674,0.5001028719652283,77.09129902350675,True,flash_entry_after_dip,22.309999465942383,22.592000198364257,21.194499492645264,hit_target,1.2640104848606892,25.280209697213785,22.592000198364257,2026-05-07 19:52:00+00:00
AMN,2026-05-07,2026-05-07 19:42:00+00:00,22.780000686645508,22.309999465942383,2.0632186415106535,1.1767290597770819,1.513300897068759,0.35030599708323173,0.23320618936981674,0.5001028719652283,77.09129902350675,True,control_entry_before_dip,22.780000686645508,23.067942283776045,21.64100065231323,exit_eod,-1.4047479917788097,-28.094959835576194,22.459999084472656,2026-05-07 19:59:00+00:00
BFLY,2026-05-06,2026-05-06 14:27:00+00:00,4.690000057220459,4.588900089263916,2.155649610300008,0.8639300402664807,6.0060939412067915,0.711619679344803,0.4601441674410234,0.5325926881464693,119.48807693601748,True,flash_entry_after_dip,4.588900089263916,4.649560070037841,4.35945508480072,hit_target,1.3218849744810024,26.437699489620048,4.649560070037841,2026-05-06 14:34:00+00:00
BFLY,2026-05-06,2026-05-06 14:27:00+00:00,4.690000057220459,4.588900089263916,2.155649610300008,0.8639300402664807,6.0060939412067915,0.711619679344803,0.4601441674410234,0.5325926881464693,119.48807693601748,True,control_entry_before_dip,4.690000057220459,4.7519964632800065,4.455500054359436,exit_eod,-3.0916839905637095,-61.83367981127419,4.545000076293945,2026-05-06 19:59:00+00:00
CHRS,2026-05-06,2026-05-06 18:56:00+00:00,1.8049999475479128,1.7649999856948853,2.216064432986128,0.27777752022684066,0.5638275536940629,0.16207013225917155,0.3216841027313899,0.4243087745683185,87.70521886820791,True,flash_entry_after_dip,1.7649999856948853,1.7889999628067017,1.676749986410141,exit_eod,-0.8498575533404162,-16.997151066808325,1.75,2026-05-06 19:59:00+00:00
CHRS,2026-05-06,2026-05-06 18:56:00+00:00,1.8049999475479128,1.7649999856948853,2.216064432986128,0.27777752022684066,0.5638275536940629,0.16207013225917155,0.3216841027313899,0.4243087745683185,87.70521886820791,True,control_entry_before_dip,1.8049999475479128,1.8295438329751554,1.714749950170517,exit_eod,-3.047088595355918,-60.94177190711836,1.75,2026-05-06 19:59:00+00:00
COCP,2026-05-05,2026-05-05 19:31:00+00:00,1.409999966621399,1.350000023841858,4.255315191482674,1.0824374548585647,3.461164586903509,0.7297919398422846,0.27642709332773574,0.4477595457461333,91.90887868740293,True,flash_entry_after_dip,1.350000023841858,1.3859999895095825,1.282500022649765,hit_target,2.6666640764401617,53.333281528803234,1.3859999895095825,2026-05-05 19:40:00+00:00
COCP,2026-05-05,2026-05-05 19:31:00+00:00,1.409999966621399,1.350000023841858,4.255315191482674,1.0824374548585647,3.461164586903509,0.7297919398422846,0.27642709332773574,0.4477595457461333,91.90887868740293,True,control_entry_before_dip,1.409999966621399,1.44759992920911,1.339499968290329,exit_eod,-1.4184383971608927,-28.368767943217854,1.3899999856948853,2026-05-05 19:59:00+00:00
