symbol,trade_date,entry_time,entry_price,flash_start_price,flash_drop_pct,pre_crash_return_pct,pre_crash_slope_pct_per_hour,pre_crash_r2,target_price,stop_price,exit_time,exit_price,outcome,trade_return_pct,paper_pnl_dollars,longterm_slope_6m_pct_per_day,longterm_r2_6m,volatility_6m_annualized_pct,pass_longterm
COCP,2026-05-05,2026-05-05 19:31:00+00:00,1.350000023841858,1.409999966621399,4.255315191482674,1.0824374548585647,3.461164586903487,0.7297919398422845,1.3859999895095825,1.282500022649765,2026-05-05 19:40:00+00:00,1.3859999895095825,hit_target,2.6666640764401617,53.333281528803234,0.27642709332773574,0.4477595457461333,91.90887868740293,True
IOVA,2026-05-07,2026-05-07 14:43:00+00:00,3.5350000858306885,3.6700000762939453,3.6784737781145522,3.3660556418796617,1.7476579561884975,0.04290610401080641,3.6160000801086425,3.358250081539154,2026-05-07 16:25:00+00:00,3.6160000801086425,hit_target,2.2913717768388686,45.82743553677737,0.502923483172868,0.6291026479573409,94.79715326429104,True
PRIM,2026-05-06,2026-05-06 14:20:00+00:00,109.7249984741211,112.4000015258789,2.3798959212130626,0.2740983131482633,4.416315691000294,0.14974927464429166,111.33000030517579,104.23874855041504,2026-05-06 14:53:00+00:00,111.33000030517579,hit_target,1.4627494676459074,29.254989352918148,0.21883984974477855,0.3783860106890843,89.17209647603387,True
CVGI,2026-05-06,2026-05-06 19:13:00+00:00,5.051000118255615,5.170000076293945,2.3017399667745035,0.3663910826839256,0.7074607181388304,0.09584815453525009,5.122400093078613,4.7984501123428345,2026-05-06 19:22:00+00:00,5.122400093078613,hit_target,1.413580937465042,28.271618749300842,1.0047188503356619,0.7164174482227852,101.42148167406297,True
FATE,2026-05-05,2026-05-05 14:43:00+00:00,2.174999952316284,2.2249999046325684,2.2471889644660936,4.449650071877342,9.84737993860254,0.6393221572423554,2.2049999237060547,2.06624995470047,2026-05-05 14:44:00+00:00,2.2049999237060547,hit_target,1.379309059654088,27.58618119308176,0.33300159475553315,0.45900036479499606,91.86026894631988,True
HUT,2026-05-06,2026-05-06 14:33:00+00:00,105.41999816894531,107.80000305175781,2.2077966748013846,4.722638736464768,14.218221751245608,0.7767615608891822,106.8480010986328,100.14899826049805,2026-05-06 14:52:00+00:00,106.8480010986328,hit_target,1.3545844758970471,27.091689517940942,0.48089359077201355,0.5663509724148809,115.84134208089392,True
MRNA,2026-05-08,2026-05-08 15:48:00+00:00,54.6349983215332,55.8650016784668,2.201742271508244,2.8439465511263196,3.9493084797508127,0.6635621882767171,55.37300033569336,51.90324840545654,2026-05-08 16:25:00+00:00,55.37300033569336,hit_target,1.3507861935255105,27.01572387051021,0.6964973323031254,0.7833774712629411,71.88081141098465,True
BFLY,2026-05-06,2026-05-06 14:27:00+00:00,4.588900089263916,4.690000057220459,2.155649610300008,0.8639300402664807,6.0060939412067915,0.711619679344803,4.649560070037841,4.35945508480072,2026-05-06 14:34:00+00:00,4.649560070037841,hit_target,1.3218849744810024,26.437699489620048,0.4601441674410234,0.5325926881464693,119.48807693601748,True
GERN,2026-05-06,2026-05-06 14:20:00+00:00,1.600000023841858,1.6349999904632568,2.1406707538562197,0.30674817461688875,2.9872449368871568,0.2554808558690984,1.6210000038146972,1.520000022649765,2026-05-06 14:21:00+00:00,1.6210000038146972,hit_target,1.3124987287447043,26.249974574894086,0.2836149945916411,0.5835440803861146,67.76138589823604,True
JOB,2026-05-08,2026-05-08 16:03:00+00:00,0.26030001044273376,0.26589998602867126,2.106045836848472,3.758803295572055,7.467931652836612,0.5125838753787684,0.2636599957942963,0.24728500992059707,2026-05-08 16:55:00+00:00,0.2636599957942963,hit_target,1.2908126072863624,25.816252145727248,0.26981834978827557,0.7051476551308902,70.7611102408893,True
