symbol,event_time_from_file,matched_event_minute,price_minus_2m,price_minus_1m,price_event_minute,price_plus_1m,price_plus_2m,price_plus_5m,return_minus1_to_event_pct,return_event_to_plus1_pct,return_event_to_plus2_pct,return_event_to_plus5_pct,flash_start_price,flash_end_price,flash_drop_pct_from_file,recovery_fraction_after_1m,recovery_fraction_after_2m,recovery_fraction_after_5m,looks_instantly_recovered_by_1m,still_depressed_after_1m,still_depressed_after_2m,strategy,outcome,trade_return_pct,paper_pnl_dollars,entry_price,target_price,stop_price,pre_crash_return_pct,pre_crash_slope_pct_per_hour
AEHR,2026-05-08 19:20:00+00:00,2026-05-08 19:20:00,102.8550033569336,101.33999633789062,100.50900268554688,100.45999908447266,99.94000244140624,98.06999969482422,-0.8200056072362849,-0.04875543460274301,-0.5661186848314625,-2.4266512705865106,102.8550033569336,100.50900268554688,2.2808814299927507,-0.020888144522675164,-0.2425405291143006,-1.039642921023106,False,True,True,flash_entry_after_dip,exit_eod,-3.30119760897215,-66.02395217944301,100.50900268554688,101.9166030883789,95.48355255126953,6.34789362592556,14.081422336534713
AMN,2026-05-07 19:42:00+00:00,2026-05-07 19:42:00,22.780000686645508,22.5,22.309999465942383,22.40999984741211,22.34000015258789,22.204999923706055,-0.8444468180338505,0.4482312140902778,0.1344719290168772,-0.47063892761008974,22.780000686645508,22.309999465942383,2.0632186415106535,0.21276621647944938,0.06383108239724693,-0.22340270112330368,False,True,True,flash_entry_after_dip,hit_target,1.2640104848606892,25.280209697213785,22.309999465942383,22.592000198364257,21.194499492645264,1.176729059777082,1.513300897068759
BFLY,2026-05-06 14:27:00+00:00,2026-05-06 14:27:00,4.690000057220459,4.579999923706055,4.588900089263916,4.570000171661377,4.534999847412109,4.640100002288818,0.19432676214237166,-0.41186160593813526,-1.1745786747005105,1.115733880209957,4.690000057220459,4.588900089263916,2.155649610300008,-0.18694286441973001,-0.5331380705775816,0.5064285781664167,False,True,True,flash_entry_after_dip,hit_target,1.3218849744810024,26.437699489620048,4.588900089263916,4.649560070037841,4.35945508480072,0.8639300402664807,6.0060939412067915
CHRS,2026-05-06 18:56:00+00:00,2026-05-06 18:56:00,1.8049999475479128,1.7949999570846558,1.7649999856948853,1.774999976158142,1.7799999713897705,1.784999966621399,-1.6713076382739778,0.5665717022269368,0.8498575533404162,1.1331434044538957,1.8049999475479128,1.7649999856948853,2.216064432986128,0.2499999999999986,0.3749999999999979,0.4999999999999972,False,True,True,flash_entry_after_dip,exit_eod,-0.8498575533404162,-16.997151066808325,1.7649999856948853,1.7889999628067017,1.676749986410141,0.2777775202268406,0.5638275536940629
COCP,2026-05-05 19:31:00+00:00,2026-05-05 19:31:00,1.409999966621399,1.399999976158142,1.350000023841858,1.3600000143051147,1.3650000095367432,1.399999976158142,-3.5714252262698754,0.7407400212333881,1.111110031850071,3.7037001061669184,1.409999966621399,1.350000023841858,4.255315191482674,0.16666666666666666,0.25,0.8333333333333334,False,True,True,flash_entry_after_dip,hit_target,2.6666640764401617,53.333281528803234,1.350000023841858,1.3859999895095825,1.282500022649765,1.082437454858565,3.461164586903509
CVGI,2026-05-06 19:13:00+00:00,2026-05-06 19:13:00,5.170000076293945,5.144999980926514,5.051000118255615,5.03000020980835,5.03000020980835,5.079999923706055,-1.8270138584912332,-0.4157574332925962,-0.4157574332925962,0.5741398687683086,5.170000076293945,5.051000118255615,2.3017399667745035,-0.17646988111123132,-0.17646988111123132,0.24369593005317336,False,True,True,flash_entry_after_dip,hit_target,1.413580937465042,28.27161874930084,5.051000118255615,5.122400093078613,4.7984501123428345,0.3663910826839256,0.7074607181388304
FATE,2026-05-05 14:43:00+00:00,2026-05-05 14:43:00,2.2249999046325684,2.194999933242798,2.174999952316284,2.2049999237060547,2.194999933242798,2.174999952316284,-0.9111608899671664,1.379309059654088,0.9195393731027179,0.0,2.2249999046325684,2.174999952316284,2.2471889644660936,0.6,0.4,0.0,False,False,False,flash_entry_after_dip,hit_target,1.379309059654088,27.58618119308176,2.174999952316284,2.2049999237060547,2.06624995470047,4.449650071877342,9.84737993860254
FLEX,2026-05-06 14:05:00+00:00,2026-05-06 14:05:00,128.8249969482422,128.43499755859375,126.2300033569336,126.7698974609375,126.66999816894533,126.56999969482422,-1.7168172566470519,0.4277066383950645,0.34856595128780477,0.26934669163338754,128.8249969482422,126.2300033569336,2.0143556396521247,0.20805219165556801,0.169555259591163,0.1310201069587894,False,True,True,flash_entry_after_dip,hit_target,1.2334596477689308,24.669192955378616,126.2300033569336,127.78699951171876,119.9185031890869,2.3289345603703993,1.379435213112079
GERN,2026-05-06 14:20:00+00:00,2026-05-06 14:20:00,1.6349999904632568,1.6150000095367432,1.600000023841858,1.625,1.625,1.6150000095367432,-0.9287916784092132,1.5624984866008385,1.5624984866008385,0.9374990919605031,1.6349999904632568,1.600000023841858,2.1406707538562197,0.7142857142857143,0.7142857142857143,0.42857142857142855,False,False,False,flash_entry_after_dip,hit_target,1.3124987287447043,26.24997457489409,1.600000023841858,1.6210000038146972,1.520000022649765,0.3067481746168887,2.9872449368871345
HIMX,2026-05-07 14:04:00+00:00,2026-05-07 14:04:00,17.1875,17.0,16.82990074157715,17.09000015258789,16.950000762939453,17.155399322509766,-1.0005838730756,1.5454601604879548,0.713610990382163,1.9340493204959675,17.1875,16.82990074157715,2.080577503551136,0.7273488545750326,0.33585086806944553,0.91023281862549,False,False,True,flash_entry_after_dip,hit_target,1.274871185209414,25.49742370418828,16.82990074157715,17.04446029663086,15.988405704498293,7.250936827233989,9.785482194554795
