timestamp_utc,symbol,last_price
2026-07-31T14:00:00+00:00,TEST,100.0
2026-07-31T14:01:00+00:00,TEST,100.05
2026-07-31T14:02:00+00:00,TEST,100.1
2026-07-31T14:03:00+00:00,TEST,100.15
2026-07-31T14:04:00+00:00,TEST,100.2
2026-07-31T14:05:00+00:00,TEST,100.25
2026-07-31T14:06:00+00:00,TEST,100.3
2026-07-31T14:07:00+00:00,TEST,100.35
2026-07-31T14:08:00+00:00,TEST,100.4
2026-07-31T14:09:00+00:00,TEST,100.45
2026-07-31T14:10:00+00:00,TEST,100.5
2026-07-31T14:11:00+00:00,TEST,100.55
2026-07-31T14:12:00+00:00,TEST,100.6
2026-07-31T14:13:00+00:00,TEST,100.65
2026-07-31T14:14:00+00:00,TEST,100.7
2026-07-31T14:15:00+00:00,TEST,100.75
2026-07-31T14:16:00+00:00,TEST,100.8
2026-07-31T14:17:00+00:00,TEST,100.85
2026-07-31T14:18:00+00:00,TEST,100.9
2026-07-31T14:19:00+00:00,TEST,100.95
2026-07-31T14:20:00+00:00,TEST,101.0
2026-07-31T14:21:00+00:00,TEST,101.05
2026-07-31T14:22:00+00:00,TEST,101.1
2026-07-31T14:23:00+00:00,TEST,101.15
2026-07-31T14:24:00+00:00,TEST,101.2
2026-07-31T14:25:00+00:00,TEST,101.25
2026-07-31T14:26:00+00:00,TEST,101.3
2026-07-31T14:27:00+00:00,TEST,101.35
2026-07-31T14:28:00+00:00,TEST,101.4
2026-07-31T14:29:00+00:00,TEST,101.45
2026-07-31T14:30:00+00:00,TEST,101.5
2026-07-31T14:31:00+00:00,TEST,100.8
2026-07-31T14:32:00+00:00,TEST,100.0
2026-07-31T14:33:00+00:00,TEST,100.2
2026-07-31T14:34:00+00:00,TEST,100.5
2026-07-31T14:35:00+00:00,TEST,100.8
2026-07-31T14:36:00+00:00,TEST,101.0
2026-07-31T14:37:00+00:00,TEST,101.0
2026-07-31T14:38:00+00:00,TEST,101.1
2026-07-31T14:39:00+00:00,TEST,101.2
2026-07-31T14:40:00+00:00,TEST,101.3
2026-07-31T14:41:00+00:00,TEST,101.4
2026-07-31T14:42:00+00:00,TEST,101.5
2026-07-31T14:43:00+00:00,TEST,101.6
2026-07-31T14:44:00+00:00,TEST,101.7
2026-07-31T14:45:00+00:00,TEST,101.8
2026-07-31T14:46:00+00:00,TEST,101.9
