strategy,trade_count,total_pnl,avg_pnl,median_pnl,avg_return_pct,median_return_pct,win_rate_pct,hit_target_count,hit_stop_count,exit_eod_count,profit_factor
flash_entry_after_dip,17,316.0207748796238,18.58945734586022,26.249974574894086,0.929472867293011,1.3124987287447043,82.35294117647058,14,0,3,4.108183358169989
control_entry_before_dip,17,-666.3380606917466,-39.19635651127921,-60.94177190711836,-1.9598178255639604,-3.047088595355918,35.294117647058826,5,5,7,0.17650751961296962
flash_minus_control,17,982.3588355713704,57.78581385713943,87.19174648201245,2.8892906928569717,4.359587324100622,47.058823529411754,9,-5,-4,
