ALL-ENGINE DAILY HISTORY
Cells show fixed-cutoff hypothetical-close return.

Module                     08-11
--------------------------------
A                         -1.64%
ACCEL1                    +0.17%
ACCEL2                    -0.10%
AV1                       -0.86%
B                         -1.74%
BO1                       +0.00%
BREADTH1                  -0.15%
BREADTH2                  -0.44%
BRK20                     -1.09%
BRK30                     -0.22%
C1                        +1.53%
C1F1                      -2.00%
C1F1MID                   -0.63%
C1F1PB15                  -2.42%
C1F1R65                   -1.77%
C1T9                      -2.24%
C2                        -0.40%
C2T35                     +1.11%
C2T9                      +1.04%
C3                        -2.25%
C3L25                     -3.86%
C3L25D05                  -3.91%
C3L25D20                  -2.32%
C3L25Q2                   -2.60%
C3L25Q4                   -1.56%
C3N20                     +0.14%
C3N25                     -1.34%
C3N25A05                  -0.75%
C3N25A10                  +2.91%
C3N25A20                  +2.37%
C3N25A50                  +3.27%
C3N25BE                   +1.09%
C3N25S10                  +1.82%
C3N25S15                  +1.73%
C3N25S25                  +0.49%
C3N25T15                  +1.16%
C3N25T60                  -1.77%
C3N25W20                  -0.97%
C3N25W30                  -0.97%
C3N30                     +1.52%
C3N40                     +2.88%
C3N50                     +0.61%
C3P25                     -0.30%
C3SC                      -2.25%
C4                        +0.13%
CLOSEMOM1                 +0.04%
CMDBRD1                   +0.28%
CMDCOP1                   +0.00%
CMDGAS1                   -0.16%
CMDGDR1                   +0.00%
CMDGDU1                   +0.00%
CMDMETMR1                 -0.45%
CMDMETTR1                 +0.00%
CMDMIN1                   +0.00%
CMDOIL1                   +0.11%
CMDROT1                   +0.19%
COMPX1                    -0.70%
COMPX2                    -0.10%
CSBREADTH1                -6.09%
CSDISP1                   -6.46%
CSOPEN1                   -0.45%
CSRANK20                  -6.47%
CSRANK5                  -34.41%
CSRELSPY1                -12.05%
CSREV1                   -11.51%
CSVOLADJ1                 -1.45%
CV1                       +1.09%
D                         -2.52%
E                         -0.14%
EMA1                      +0.33%
EMA1RR                    -0.84%
EMA1T50                   -1.19%
EMA1V15                   -0.56%
EMA2                      -0.10%
EMA3                      +0.62%
ENTROPY1                  +0.00%
ET29                      -1.96%
EVTSEC8K1                -45.63%
EVTVOL1                   -6.11%
F                         -3.41%
FCFX1                     -0.23%
FCGOLD1                   -0.88%
FCMES1                    -0.56%
FCMNQ1                    -0.14%
FCOIL1                    -0.64%
FCOILM1                   -0.04%
FUTIDXR1                  +3.05%
FUTMCL1                   +2.06%
FUTMCLR1                  -2.03%
FUTMES1                   -0.89%
FUTMGC1                   -7.87%
FUTMGCR1                  -0.97%
FUTMNQ1                   +4.61%
FUTXAR1                   +0.39%
FXAN1                     -1.19%
FXAUD1                    -0.28%
FXCHF1                    -0.81%
FXEGBP1                   -1.22%
FXGBP1                    +0.00%
FXJPY1                    +0.00%
FXLON1                    +0.00%
FXUSDB1                   -0.08%
G                         +0.28%
GE1                       -0.10%
GM1                       +0.34%
GP1                       -0.26%
GR1                       +0.38%
GT1                       -0.52%
GT9                       +0.44%
GTMX                      -0.58%
H                         -1.37%
HL1                       -0.19%
HT5                       +0.21%
I                         +0.77%
INVPAIR1                  +0.00%
J1                        -4.53%
J2                        -3.85%
J2MID                     +1.86%
J2RB30                    -0.64%
J2T15                     -1.27%
J3                        -4.02%
J4                        -4.13%
J5                        -6.66%
J6                        -3.26%
K1                        -9.58%
K2                       -12.28%
K3                       -11.83%
K4                        -5.40%
K5                        -7.04%
K6                        -0.32%
K7                       -15.02%
K8                        -4.05%
K9                        -5.47%
L                         -3.26%
LEADBASK1                 -0.03%
LEADBASK2                 +0.11%
LT65                      -1.16%
M                         -2.48%
M1                        -0.58%
M2                        +2.89%
M3                        -5.49%
MC1                       -1.38%
MIDREV1                   +0.24%
MKTNEUT1                  +0.28%
MSASKPULL1                +0.12%
MSBIDPULL1                -0.03%
MSDEPTH1                  +0.09%
MSFLIP1                   -0.08%
MSIMB1                    +0.06%
MSPERSIST1                +0.15%
MSRECOV1                  +0.18%
MSSPCOMP1                 -0.23%
MSSPSHOCK1                +0.08%
MSVEL1                    +0.15%
N                         +1.67%
O                         +0.00%
OPENMOM1                  -0.36%
OPTBRK1                   -0.50%
OPTDIR1                   -3.20%
OPTDIR2                   -6.70%
OPTIVR1                   -7.04%
OPTREV1                   +0.00%
OPTSKEW1                  +1.30%
OPTSTRAD1                 -4.60%
OPTTERM1                  -9.70%
OPTVERT1                  -6.80%
OPTVERT2                  -5.80%
OR1                       +0.10%
P                         -1.50%
PAIRMR1                   +0.08%
PAIRMR2                   +0.08%
PAIRTR1                   +0.00%
PD1                       -0.09%
PEERBASK1                 +0.06%
PMID                      -2.79%
PREVR1                    +0.00%
PREVR2                    +0.00%
PT325                     -1.46%
PT325315                  +0.65%
PTD1X                     -1.12%
PULLCONT1                 -0.42%
PULLCONT2                 +0.00%
Q                         -1.67%
QMID                      -1.32%
QTD1X                     +1.82%
QV425                     -1.19%
R                         -0.30%
RS1                       -0.02%
RS2                       -0.02%
RS3                       -0.39%
RVCAL1                    +0.00%
RVDIAG1                   -1.04%
RVFLY1                    -0.78%
S                         +0.63%
SECTORH1                  -0.00%
SECTORROT1                -0.12%
SH1                       +0.64%
SHOCKR1                   -0.40%
SHOCKR2                   -0.20%
SHTACC1                   -0.14%
SHTBRD1                   -0.01%
SHTBRK1                   -0.04%
SHTFAIL1                  +0.29%
SHTGAP1                   +0.02%
SHTMOM1                   -0.60%
SHTOVER1                  -0.07%
SHTREL1                   -0.24%
SHTVOL1                   +0.04%
SMA1                      +0.30%
SPY_BR1                   +0.00%
SPY_ENS1                  -0.23%
SPY_MOM1                  +0.00%
SPY_MR1                   +0.00%
SPY_OR15                  +0.00%
SPY_OR30                  +0.00%
SPY_OR5                   +0.00%
SPY_XA1                   -0.23%
STBETA1                   -0.13%
STBREAK1                  -0.60%
STCINT2                   +0.22%
STHALF2                   -0.41%
STHEDGE2                  -0.39%
STLEAD1                   +0.00%
STPAIR1                   -0.11%
STRESMOM1                 +0.07%
STSECTOR1                 +1.12%
SWBREAK10                 +0.85%
SWMOM2                    -0.36%
SWMOM5                    -0.64%
SWREL5                    -0.36%
SWREV2                    -0.40%
SWTREND20                 -0.79%
TD1                       +0.27%
TF1                       +0.29%
TL1                       -1.28%
TRENDX1                   -0.42%
TRENDX2                   +0.02%
VOLR1                     -0.17%
VOLR2                     -0.53%
VT1                       +0.01%
VWEMA1                    -0.91%
XASSETPAIR1               +0.10%
