symbol,liquidity_lookback_days,min_daily_volume_required,last5_daily_volumes,min_volume_last5,pass_liquidity,longterm_slope_6m_pct_per_day,longterm_r2_6m,volatility_6m_annualized_pct,pass_longterm
AAP,5,1000000,1726800;1734600;2860600;1857900;1530800,1530800,True,0.17398557208310184,0.3554014243633816,54.213749335139674,True
ABCL,5,1000000,4059700;4262300;3752400;7547800;4227700,3752400,True,0.2922638226137364,0.30702097606225986,104.79784555050509,True
ABEV,5,1000000,21175700;18133900;30204700;16705300;15456300,15456300,True,0.19615073986662956,0.6589942386629188,38.255327760561464,True
ABNB,5,1000000,4396400;3085100;3728500;3113300;5483500,3085100,True,0.0886688900434418,0.325059099962526,34.382252916846994,True
ACDC,5,1000000,2163300;1390300;1864100;1182800;1142700,1142700,True,0.46402531643494616,0.635052820410884,87.74938499737436,True
ACHC,5,1000000,2546800;3727800;3293200;4237900;2754800,2546800,True,0.7031111496951681,0.7875405813689051,87.10757550888317,True
ACWI,5,1000000,2143500;1987300;2590100;3653200;5062900,1987300,True,0.06760250046671246,0.46454856447812165,14.781363851133428,True
ADI,5,1000000,3483500;3139500;3099900;4096300;3674100,3099900,True,0.33561304704476935,0.8303230458329445,32.905672783469676,True
ADM,5,1000000,2700700;2317000;2421600;2183500;4330500,2183500,True,0.2497520162389355,0.86870856926418,26.918684689566984,True
AEE,5,1000000,1268500;1706700;1715000;1185700;2018200,1185700,True,0.10004999499884093,0.6655421621337494,17.390602227957373,True
AEP,5,1000000,3459700;4535900;3321700;3856300;4311800,3321700,True,0.1330646486532583,0.7078649215198204,19.752270805728823,True
AESI,5,1000000,2110100;1861000;2182900;3042000;3414600,1861000,True,0.49690363196799314,0.7450438390044214,67.9229856277863,True
AFL,5,1000000,1620100;1791400;1918200;2513100;4031500,1620100,True,0.057881813806259785,0.4168236472072181,16.589958502016437,True
AIQ,5,1000000,1901000;1275100;1924700;2607400;3517600,1275100,True,0.1272480695289291,0.3449825598281844,26.36233459273094,True
AKAM,5,1000000,2529500;2751500;2933400;1968800;3499300,1968800,True,0.31451172977383646,0.623448491675932,74.8675007663785,True
ALGM,5,1000000,1561200;1838800;2018100;1994700;1588700,1561200,True,0.457288819374857,0.6964147209092804,72.76565273429708,True
ALKS,5,1000000,1583800;1776600;1556300;1843700;1713700,1556300,True,0.29673401113610165,0.4819447693358103,78.69714820813932,True
ALL,5,1000000,1384900;1455700;3127800;2027700;1857400,1384900,True,0.0908374022263958,0.39480215001830576,31.850087509734305,True
ALLO,5,1000000,8941900;5422400;6039700;6300100;4939700,4939700,True,0.426752572195066,0.5279298418218155,99.1654867322764,True
ALM,5,1000000,6252400;5017500;5671100;9822700;6066600,5017500,True,0.8571981507726312,0.717081794156873,97.9971472051544,True
ALTO,5,1000000,2504600;2570800;2367800;2607500;3702100,2367800,True,0.7432641539045548,0.772496301671991,112.42994094227876,True
AM,5,1000000,2188000;1851300;2303800;1692500;1495600,1495600,True,0.22026389708609262,0.678016264036135,20.33733321495878,True
AMAT,5,1000000,7561700;6513900;8168200;8406100;10298700,6513900,True,0.5244738119021042,0.8605970651541756,73.2231823564975,True
AMD,5,1000000,22957400;21201400;27826200;27093700;32069200,21201400,True,0.5961011717765752,0.5417639903152988,74.188806094836,True
AMKR,5,1000000,3244900;5395200;4172800;4075600;4197900,3244900,True,0.4580383928294962,0.6688978663909724,71.94267953723777,True
AMPX,5,1000000,6510900;5378400;4322900;9752900;5849800,4322900,True,0.4856380492120449,0.4255565966616064,105.48352230796351,True
AMX,5,1000000,1231300;1217800;1171700;1441800;1108500,1108500,True,0.22519015741282455,0.7511618571761037,28.48636603908849,True
ANET,5,1000000,9149500;7566300;8095900;8412300;7556800,7556800,True,0.20570084419768708,0.4956487928980873,60.20248641348787,True
APA,5,1000000,6648000;6171400;5511900;4582400;4583200,4582400,True,0.43485088433354857,0.7350058509888573,51.674585371197026,True
APG,5,1000000,1522400;1823200;2159900;2050400;1769700,1522400,True,0.09063736103422926,0.3170268690906056,31.307419854868517,True
APLE,5,1000000,2520900;2784700;2189700;2382100;2076000,2076000,True,0.1712945498794305,0.4974716055766697,30.419084721367877,True
ARM,5,1000000,5301100;8484300;5708900;9788000;8227100,5301100,True,0.6320197304466868,0.6400682540198441,75.04491473125839,True
ARMK,5,1000000,2412500;3317900;3692300;2860200;2205700,2205700,True,0.2768988122763272,0.7675072344999985,29.851845273664026,True
AROC,5,1000000,1353000;1439800;1869900;1464500;1129800,1129800,True,0.40006058536223854,0.8805706790671229,27.518908590623802,True
ASHR,5,1000000,4648800;6947500;3842400;4558400;6837200,3842400,True,0.057165700335248815,0.47249790121454127,18.01216109407199,True
ASML,5,1000000,1419800;2529100;4189300;2581400;2207400,1419800,True,0.32079111601901467,0.7347359688613269,50.08264313503782,True
ASX,5,1000000,10684700;7301700;9505700;11807100;10882000,7301700,True,0.7389588137701297,0.9111544867014801,64.21223525195813,True
ATEN,5,1000000,1164500;1264600;1240600;1309900;1087000,1087000,True,0.5424846227051194,0.8633005618825133,51.612364132550816,True
ATI,5,1000000,1164200;1699300;2015800;1694700;1224900,1164200,True,0.4221377318776254,0.847104859453378,49.166452545786356,True
AUR,5,1000000,16388600;20422300;18374700;18095400;19748500,16388600,True,0.34716629039976965,0.5081879324457024,70.54519504569427,True
AVEM,5,1000000,1549500;1565700;1497800;1235000;3557900,1235000,True,0.15192008452660222,0.7309700794867092,23.805724731132145,True
AVUV,5,1000000,1159500;1987500;1069300;1530000;1158700,1069300,True,0.13923991739421826,0.8049087596361849,16.89916849545091,True
AXGN,5,1000000,1282400;1167100;1074400;1323800;1200600,1074400,True,0.2525332777972178,0.6138548254068708,55.91353287723189,True
BAI,5,1000000,1997000;2797700;4741700;3413700;4751000,1997000,True,0.2507331641998567,0.6192159884261563,39.24332889752441,True
BALL,5,1000000,1447600;1673200;2591100;1905600;1783200,1447600,True,0.1469430104599212,0.36318156422825154,32.32370076528575,True
BB,5,1000000,25936700;22240100;24720400;29115900;22928000,22240100,True,0.48483483554475626,0.34578986830363867,110.62921371156249,True
BCRX,5,1000000,3147500;3968200;6813800;3561400;3268900,3147500,True,0.2834147276382426,0.6029500710820961,58.14452415447726,True
BE,5,1000000,10068600;8768300;11200200;16336100;17035900,8768300,True,0.835657191344108,0.7974067357394591,111.15004690372288,True
BEN,5,1000000,5063000;5779300;4396100;3127900;4571900,3127900,True,0.22794227339493212,0.5865297215210797,33.241789064593014,True
BGC,5,1000000,2737000;2031200;2185400;3360000;2090700,2031200,True,0.23731818965242457,0.8214641493887233,30.9236112850914,True
BHP,5,1000000,1970000;2530500;3354000;2647700;1876400,1876400,True,0.3047330068986165,0.8148355629303878,36.703754628760095,True
BIIB,5,1000000,2259800;3902100;2067300;1872700;1150300,1150300,True,0.0799899798396897,0.3829513935070964,39.31061816008552,True
BKD,5,1000000,4744500;5250100;5052600;8060000;5030900,4744500,True,0.22430549630430008,0.40353597855423196,45.34285204207248,True
BKR,5,1000000,6118400;6316300;8257800;7731000;11591500,6118400,True,0.24920054902131117,0.6018263160221712,43.0718709978735,True
BMY,5,1000000,12089300;14056000;12485300;10166800;12260200,10166800,True,0.10253601674219404,0.41785464759897795,28.03492523691856,True
BNL,5,1000000,1522200;2082700;1184600;1613200;1837700,1184600,True,0.14259435013808108,0.7839569741417722,20.269327963314414,True
BNO,5,1000000,3289000;3889100;1664700;1280900;1626800,1280900,True,0.6197381054609208,0.806705875974429,64.8462837821346,True
BNS,5,1000000,1846800;1810100;3057900;2166900;2396100,1810100,True,0.0919194102450005,0.33537465256324217,22.754629454330715,True
BORR,5,1000000,3319200;2738400;3550200;3795900;4068800,2738400,True,0.3299760502353699,0.47631728810004104,60.61516105802194,True
BP,5,1000000,10299800;10192500;5345400;6170800;5360000,5345400,True,0.2319456161358202,0.6479313710656229,38.53764242053267,True
BRX,5,1000000,1484200;2593700;1906900;1684800;1650300,1484200,True,0.16679755596096246,0.808644690988203,17.43941179845326,True
BTE,5,1000000,21405700;20201200;20402500;18084300;24314800,18084300,True,0.37520959842809454,0.822914668919698,53.2487563446564,True
BTSG,5,1000000,2271400;1817000;5848600;32760800;3816300,1817000,True,0.4315599378692747,0.7978039542482142,48.55218916462828,True
BUD,5,1000000,1338700;1161700;1326600;1550500;1790900,1161700,True,0.18987610909739772,0.6620331419289123,25.38888745126292,True
BWA,5,1000000,1282900;1550400;1972900;4147300;2972200,1282900,True,0.28785065236995866,0.7540203892802877,45.380230520471784,True
C,5,1000000,12439900;32127800;18092200;13763500;15688500,12439900,True,0.14144037714616253,0.4818489266067194,38.66166548375354,True
CABA,5,1000000,4319300;3180500;3675500;2675400;3507800,2675400,True,0.32022599558150233,0.5377613108568224,96.0104035942195,True
CALY,5,1000000,2229400;1978900;2591800;1829500;1228400,1228400,True,0.2588575312143959,0.6193043793562558,59.79943829594261,True
CARR,5,1000000,3776000;5293000;5080100;6124600;5172200,3776000,True,0.17179584736284337,0.601410743233971,40.95841272418951,True
CAT,5,1000000,1991000;2028600;2703600;3586600;3376000,1991000,True,0.37945331457505116,0.8863194280385374,41.10516084355775,True
CAVA,5,1000000,3419400;3121000;3417200;3300300;2431300,2431300,True,0.369139809631025,0.5977237132595898,62.686808264277886,True
CB,5,1000000,1649700;1799600;1955600;2461900;2985200,1649700,True,0.09327979625737282,0.6137148865409469,21.69319750165603,True
CC,5,1000000,2241700;3374200;2064400;2893200;1517300,1517300,True,0.5525248535309446,0.7234393398337824,69.73185589921181,True
CCCC,5,1000000,3013400;3046500;4016200;3865600;2455800,2455800,True,0.3976335632225769,0.5110183341854309,92.62425677053925,True
CCO,5,1000000,4325500;3713700;2490900;3848000;2248600,2248600,True,0.16410107839197607,0.727438708523644,30.808604586523387,True
CENX,5,1000000,1815100;1283900;1749300;2066200;1495100,1283900,True,0.4562181975638957,0.5679545350826658,68.58297934398749,True
CF,5,1000000,2527200;1848400;2325900;2152000;3065500,1848400,True,0.45541330494687227,0.8179055775410705,49.75209903075622,True
CFG,5,1000000,4052400;4940700;5129500;9763200;6637700,4052400,True,0.11270621785688384,0.3934842200010872,34.15771098459042,True
CGAU,5,1000000,1224400;1272300;1680800;1322100;1357400,1224400,True,0.18801916730060153,0.30899990828130763,55.53414703836946,True
CGDV,5,1000000,4731900;3604100;3566800;4765100;3555100,3555100,True,0.07082940588458708,0.4841282878659465,13.509330754255439,True
CGNX,5,1000000,1389000;1696500;2645400;1654300;1372100,1372100,True,0.4838370796266256,0.8437309918670208,64.9903124787955,True
CHD,5,1000000,1558000;1536500;1993700;1529800;1732600,1529800,True,0.10736499584258485,0.3828449836233355,22.487816141923318,True
CIEN,5,1000000,1220500;1247200;1655800;2602500;3364700,1220500,True,0.8480213949592974,0.89479819149061,83.19387932855923,True
CIG,5,1000000,7454800;4087000;3657500;2624100;3199700,2624100,True,0.14597031920569048,0.4198941736046228,33.39466222233193,True
CLMT,5,1000000,1727000;1290100;1081000;1729600;2742800,1081000,True,0.5856554958591387,0.9022075901417843,45.38035258985009,True
CMPS,5,1000000,3033300;2798200;3358700;11929800;7158400,2798200,True,0.43540782139450673,0.4347850353984317,103.37159741734794,True
CMS,5,1000000,2336100;2334000;2662700;4237400;3720700,2334000,True,0.058638230474561404,0.33118395357393815,17.323876039211182,True
CNI,5,1000000,1641200;1231200;2354800;1439800;1572300,1231200,True,0.16732931519969352,0.7498751188011167,26.03341902849699,True
CNK,5,1000000,2187000;2077400;1995100;4021200;2448500,1995100,True,0.17194863158300766,0.5139065647991923,44.2051870092357,True
CNP,5,1000000,5639100;6890800;6831100;7917000;6139000,5639100,True,0.11386659828158674,0.6914859998760969,17.92019933328102,True
CNQ,5,1000000,9353000;8713100;9890400;7769300;8312300,7769300,True,0.3295374340847923,0.6908215648469718,42.56470092802104,True
COHR,5,1000000,3218900;3093700;5188100;4962600;5952900,3093700,True,0.6168654543220908,0.8821334537410105,77.2793577386294,True
COP,5,1000000,5975700;6455500;5953900;4916500;5841900,4916500,True,0.2551389384947367,0.6669047689497201,37.969302592630655,True
CORZ,5,1000000,8182500;6777500;8458100;6904700;9297300,6777500,True,0.2660386525017655,0.5061849256804232,68.95411452359113,True
COST,5,1000000,2373300;2409200;2423200;2735300;2507300,2373300,True,0.10102749374880649,0.4553040760598154,24.533884577971158,True
CP,5,1000000,1686700;2358500;2122800;4808100;2349200,1686700,True,0.1663419926842824,0.7142156826785471,24.189627531954738,True
CRGY,5,1000000,5924400;4205400;6274900;8762600;6565000,4205400,True,0.32602549629741073,0.5205452904333642,63.38132691481307,True
CSCO,5,1000000,17569200;21935600;23829100;25222400;28455900,17569200,True,0.2702459807032431,0.6031277380867656,36.96250765011724,True
CSTM,5,1000000,1274500;1757900;1346300;2032500;1274200,1274200,True,0.5008510692503965,0.8854463504305058,48.26442757970938,True
CSX,5,1000000,8526100;11198400;8881500;15678200;17452900,8526100,True,0.24291482648310936,0.8612573250284005,23.798402829484154,True
CTRE,5,1000000,1936000;2008500;2424300;3325000;2993600,1936000,True,0.08506930040101945,0.5230611554199619,26.863087285716215,True
CTRI,5,1000000,1148100;1470700;1629100;1827100;1718700,1148100,True,0.21559458959672373,0.42699972342096526,49.93412911669141,True
CTVA,5,1000000,2735600;2884400;4378100;3854100;3783100,2735600,True,0.21574896925686815,0.885241575633284,25.169415682636664,True
CUBE,5,1000000,1109100;2473000;2609700;2425300;2845700,1109100,True,0.07892176323180955,0.48231064841902227,22.71799498420156,True
CVE,5,1000000,6507700;6613800;6463400;3576300;5101400,3576300,True,0.4849290061936573,0.8881105358775867,46.431010242311366,True
CVX,5,1000000,7685100;6823300;6665700;6257600;7053800,6257600,True,0.2041251739788974,0.5989064888412389,29.98269452164723,True
CYTK,5,1000000,1891500;1439500;1334100;1406800;1588500,1334100,True,0.1411084791890671,0.3675826287516172,48.18779938524897,True
CZR,5,1000000,5167200;2807900;5390700;2185900;4965600,2185900,True,0.21266261858998714,0.5025319992728301,54.54458751298027,True
D,5,1000000,3357100;4544100;4539600;3690000;4492300,3357100,True,0.09104266765695979,0.5042044690167362,22.91282587205961,True
DAR,5,1000000,1792600;1544300;1895200;2008000;2436200,1544300,True,0.534510391406573,0.889942080779391,30.305813795441562,True
DBRG,5,1000000,3844900;2434100;2059800;1235600;2084400,1235600,True,0.18833988728710338,0.34268733113570715,65.96977878642704,True
DDD,5,1000000,1646800;1808600;1265400;2523800;2221000,1265400,True,0.2183519202269224,0.3061139969649326,91.50829312426221,True
DELL,5,1000000,4661700;7198300;12957600;6441800;7283900,4661700,True,0.7777428412810483,0.6971052984340397,106.01448985095377,True
DFAC,5,1000000,1951300;2502100;2263100;2292200;1792300,1792300,True,0.06990501791084291,0.49071365756871654,13.236863767220356,True
DFAI,5,1000000,1588800;1591500;3421300;1364000;1224300,1224300,True,0.07229409075286686,0.5068531032687078,16.50781834640391,True
DFAR,5,1000000,2435300;1302000;2700500;2268500;2057100,1302000,True,0.104283472485589,0.7325299631421056,13.869035702915403,True
DFIC,5,1000000,2854100;1967700;2213200;1800300;1966400,1800300,True,0.08007437798667194,0.5430794201554504,16.22439822340512,True
DGRO,5,1000000,1228200;1349400;1423900;1344800;1261100,1228200,True,0.054566930675847836,0.5036514637069229,11.740018373705439,True
DHT,5,1000000,3415700;3478900;2455200;2463200;2530300,2455200,True,0.36239003773601564,0.7402552681079322,39.315099317209956,True
DINO,5,1000000,2724400;2348600;3979500;3639700;2583100,2348600,True,0.35814313778632645,0.7764220730407658,42.826656320850496,True
DK,5,1000000,1017600;1282300;1434300;1231300;1481000,1017600,True,0.40276920536646,0.6041288070929021,66.66950532344711,True
DLR,5,1000000,1584600;3531600;3134600;2772200;2591300,1584600,True,0.18623101012837928,0.707112758930465,26.851875703482815,True
DOCN,5,1000000,1768900;2473600;5692300;2980900;2460400,1768900,True,0.9476019417631543,0.8695980699503257,92.96335249173569,True
DOW,5,1000000,12392800;8630000;8806400;7007900;8538000,7007900,True,0.40747185581646583,0.6276835182829379,57.36965489044537,True
DRH,5,1000000,1511400;2408600;1855200;2295200;3048600,1511400,True,0.1747123034293363,0.7196430154088713,29.386282981138795,True
DUK,5,1000000,2362000;2391500;3482200;3518500;4888000,2362000,True,0.07409827481024145,0.4342926283813975,15.80684633660397,True
DVN,5,1000000,9996700;8817700;8595500;12061500;10063300,8595500,True,0.24564521051055888,0.64174956221888,40.89342324967979,True
DYNF,5,1000000,1758600;2091900;1986400;1689500;2544300,1689500,True,0.06558020616886928,0.3843585276836313,13.858984596389575,True
EBAY,5,1000000,2393800;4464800;3115900;4822100;5097700,2393800,True,0.2404999625126525,0.7431454175471344,33.40018720195689,True
EC,5,1000000,2364700;2725900;2449400;3646100;1841700,1841700,True,0.35351530293143973,0.7820167048562485,39.21489787457668,True
ED,5,1000000,2070200;1619800;1476200;1661600;2449700,1476200,True,0.10543540953091846,0.5615105641446976,18.095198557139927,True
EDIT,5,1000000,2067700;1843200;1602800;1385700;1748800,1385700,True,0.3161389462414288,0.4074053915879625,95.28551530307732,True
